Americamysis bahia_acute,Americamysis bahia_chronic,Artemia salina_acute,Brachionus plicatilis_acute,Chaetogammarus marinus_acute,Crangon septemspinosa_acute,Crassostrea virginica_acute,Cyprinodon variegatus_acute,Cyprinodon variegatus_chronic,Danio rerio_chronic,Farfantepenaeus duorarum_acute,Fundulus heteroclitus_acute,Fundulus heteroclitus_chronic,Gadus morhua_chronic,Gasterosteus aculeatus_acute,Lepeophtheirus salmonis_acute,Lepomis macrochirus_acute,Litopenaeus vannamei_acute,Menidia beryllina_acute,Menidia menidia_acute,Mytilus galloprovincialis_chronic,Nitocra spinipes_acute,Oncorhynchus mykiss_chronic,Oncorhynchus mykiss_acute,Oryzias melastigma_chronic,Palaemonetes pugio_acute,Palaemonetes pugio_chronic,Palaemonetes sp._acute,Pimephales promelas_acute,Pimephales promelas_chronic,Raphidocelis subcapitata_acute,Rivulus marmoratus_chronic,Scolelepis fulginosa_acute,Skeletonema costatum_acute,Skeletonema costatum_chronic,Dunaliella tertiolecta_acute,Isochrysis galbana_acute,Phaeodactylum tricornutum_acute,smiles,duration,group
1.079181246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C1N(CN(CN1CCO)CCO)CCO,4,training
-0.102372909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ClCC=CCl,4,training
0.643452677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ClCC=CCl,3,training
-0.15490196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ClCC=CCl,4,training
0.608526034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clc1cccc(Cl)c1,3,training
1.439332694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ClCCCCl,1,training
0.86332286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ClCCCCl,4,training
-0.22184875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCCOCC(=Nc1ccc(Cl)cc1C(F)(F)F)n1ccnc1,4,training
-0.698970004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oc1cccc2ccccc12,4,training
-1.395665927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CNC(=O)Oc1ccccc1OC(C)C,2,training
-1.431798276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCC(C)(C)C(=O)OC1=C(C(=O)OC11CCCCC1)c1ccc(Cl)cc1Cl,4,training
1.421603927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oc1c(Cl)c(Cl)cc(Cl)c1Cl,2,training
1.385606273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oc1c(Cl)c(Cl)cc(Cl)c1Cl,3,training
1.421603927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oc1c(Cl)c(Cl)cc(Cl)c1Cl,1,training
0.301029996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C1C(COC1(CN2C=NC=N2)C3=C(C=C(C=C3)Cl)Cl)Br,4,training
0.505149978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC(F)(F)c1cnc(CNC(=O)c2c(Cl)cccc2Cl)c(Cl)c1,4,training
-1.958607315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,4,training
-2.508638306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,4,training
-2.494850022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,4,training
2.045322979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COC(=O)c1ccc(CNS(C)(=O)=O)cc1S(=O)(=O)NC(=O)Nc1nc(OC)cc(OC)n1,4,training
1.204119983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COC(=O)C1=CC=CC=C1S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC(F)F)OC(F)F,4,training
-1.173925197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CC(COc1ccc(Oc2ccccc2)cc1)Oc1ccccn1,4,training
-0.539102157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC(F)(F)Oc1ccc(NC(=O)NN=C(Cc2ccc(cc2)C#N)c2cccc(c2)C(F)(F)F)cc1,4,training
-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O=C(c1ccc(c(c1Cl)COCC(F)(F)F)S(=O)(=O)C)C2C(=O)CCCC2=O,4,training
0.72427587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCOCN(C(=O)CCl)c1c(C)cccc1CC,4,training
0.477121255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oc1ccccc1Cl,3,training
0.204119983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oc1ccccc1Cl,3,training
0.544068044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oc1ccccc1Cl,2,training
0.73239376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oc1ccccc1Cl,2,training
0.301029996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oc1ccccc1Cl,1,training
-1.148741651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCCCCCCCN1SC=CC1=O,4,training
-1.040958607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C=CC=O,4,training
-1.886056648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C=CC=O,3,training
1.285557309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C=CC(=O)N,4,training
0.92992956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C=CC#N,4,training
-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCCC(C)C1=CC(=CC=C1)OC(=O)NC.CCC(CC)C1=CC(=CC=C1)OC(=O)NC,4,training
-4.892790032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C,4,training
-5.15490196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C,4,training
-5.259637312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C,4,training
-4.688246138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C,4,training
-4.022276395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc2cccc(Oc3ccccc3)c2,4,training
-3.5712984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc2cccc(Oc3ccccc3)c2,1,training
1.51851394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COC1=C(C=C(C=C1)/C(=C/C(=O)N2CCOCC2)/C3=CC=C(C=C3)Cl)OC,4,training
-1.119186408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cc1cc(C)c(C2=C(OC(=O)CC(C)(C)C)C3(CCCC3)OC2=O)c(C)c1,4,training
1.11058971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CC1=CC(=O)CC(C)(C)C1,4,training
0.591064607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CC(C)(NC(=O)c1cc(Cl)cc(Cl)c1)C#C,4,training
